Nº Registro;Denominación;Fecha última modificación;Dirección;Código Postal;Localidad;Provincia;Teléfono;Email;Web;Naturaleza;Ambito Sectorial;Destinatarios
A-0077;ASOCIACION VECINAL  RONDILLA;24/04/18;CALLE MARQUES DE SANTILLANA 4BAJO (APDO 649);47010;VALLADOLID;VALLADOLID;983 251090;rondilla@nodo50.org;www.nodo50.org/rondilla;ASOCIACIÓN;ACCION SOCIAL Y SERVICIOS SOCIALES, FOMENTO DEL VOLUNTARIADO, CULTURALES, EDUCATIVAS, DESARROLLO DE LA VIDA ASOCIATIVA, DEFENSA DE LOS DERECHOS HUMANOS;POBLACIÓN GENERAL
A-0078;ASOCIACION DE FAMILIARES DE ENFERMOS DE ALZHEIMER MEDINA DEL CAMPO "AFAMEC";18/09/17;CALLE DE LA ANTIGUA 1;47400;MEDINA DEL CAMPO;VALLADOLID;983 811001;afamec@terra.es;www.afamec.org;ASOCIACIÓN;ACCION SOCIAL Y SERVICIOS SOCIALES;PERSONAS MAYORES
A-0079;FUNDACION JOVENES Y DESARROLLO;19/01/17;AVENIDA ANTIBIOTICOS 126;24009;LEON;LEON;987 203712;jyd.castillayleon@jovenesydesarrollo.org;wwwjovenesydesarrollo.org;FUNDACIÓN;COOPERACION AL DESARROLLO;POBLACIÓN GENERAL, VOLUNTARIADO
A-0080;ASOCIACION REGIONAL DE FAMILIAS ADOPTANTES (ARFA);27/04/15;CALLE LOPEZ GOMEZ 22, 1º IZQ.;47002;VALLADOLID;VALLADOLID;983 298963;arfa@arfacyl.org;www.arfacyl.org;ASOCIACIÓN;ACCION SOCIAL Y SERVICIOS SOCIALES;INFANCIA, POBLACIÓN GENERAL, VOLUNTARIADO
A-0081;ASOCIACION VALPONASCA;06/05/15;CALLE SAN JUAN BOSCO 20;24009;LEON;LEON;987 210067;valponasca@donbosco.es;;ASOCIACIÓN;ACCION SOCIAL Y SERVICIOS SOCIALES;EXCLUSION SOCIAL, VOLUNTARIADO
A-0082;COLECTIVO PARA EL DESARROLLO RURAL TIERRA CAMPOS;27/12/11;CALLE MEDIANA 5-BAJO A;47800;MEDINA DE RIOSECO;VALLADOLID;983 725000;colectivo@cdrtcampos.es;www.cdrtcampos.es;ASOCIACIÓN;ACCION SOCIAL Y SERVICIOS SOCIALES, PROMOCION DEL MUNDO RURAL, FOMENTO DEL VOLUNTARIADO, CULTURALES, EDUCATIVAS, DEFENSA Y PROTECCION DEL MEDIO AMBIENTE, DESARROLLO DE LA VIDA ASOCIATIVA, OCIO Y TIEMPO LIBRE;EXCLUSION SOCIAL, (MUJER), INFANCIA, JUVENTUD, POBLACIÓN GENERAL, VOLUNTARIADO
A-0083;FUNDACION EDADE;27/05/15;CALLE BANZO 9 BAJO-IZQ.;37001;SALAMANCA;SALAMANCA;923 281779;fundacion_edade@hotmail.com;;FUNDACIÓN;ACCION SOCIAL Y SERVICIOS SOCIALES;POBLACIÓN GENERAL
A-0084;FEDERACIÓN DE ASOCIACIONES DE PADRES Y AMIGOS DEL SORDO DE CASTILLA Y LEÓN (FAPAS CYL);24/11/20;CALLE FUENTE LUGAREJOS S/N;09006;BURGOS;BURGOS;983 213146;fapascyl@fapascyl.org;;FEDERACIÓN-CONFEDERACIÓN;DEPORTIVAS, CULTURALES, EDUCATIVAS, DESARROLLO DE LA VIDA ASOCIATIVA, OCIO Y TIEMPO LIBRE;DISCAPACIDAD SENSORIAL
A-0085;ASOCIACION C-L PARA DEFENSA INFANCIA Y JUVENTUD (REA);30/08/10;CALLE ANTONIO LORENZO HURTADO 5(EDIFICIO CRUZ ROJA);47014;VALLADOLID;VALLADOLID;626 167531;secretaria@asociacionrea.org;www.asociacionrea.org;ASOCIACIÓN;ACCION SOCIAL Y SERVICIOS SOCIALES, EDUCATIVAS;INFANCIA, JUVENTUD, POBLACIÓN GENERAL
A-0086;CONFEDERACIÓN REGIONAL DE PENSIONISTAS Y JUBILADOS DE CASTILLA Y LEÓN;24/11/20;CALLE PUENTE LA REINA 8 BAJO;47011;VALLADOLID;VALLADOLID;983 294891;confemayorescyl@telefonica.net;;FEDERACIÓN-CONFEDERACIÓN;ACCION SOCIAL Y SERVICIOS SOCIALES, FOMENTO DEL VOLUNTARIADO;PERSONAS MAYORES
A-0087;ASDE-EXPLORADORES DE CASTILLA Y LEÓN;24/11/20;PASEO CAUCE 92 BAJO;47014;VALLADOLID;VALLADOLID;983 307047;castillaleon@scout.es;;ASOCIACIÓN;EDUCATIVAS;
A-0088;FUNDACION MADRESELVA;19/09/17;PLAZA PADRON Nº 11;28029;MADRID;MADRID;91 7301035;direccion@madreselvaongd.net;;FUNDACIÓN;ACCION SOCIAL Y SERVICIOS SOCIALES, OCIO Y TIEMPO LIBRE;EXCLUSION SOCIAL, INFANCIA, JUVENTUD
A-0089;COMITE CIUDADANO ANTISIDA DE ZAMORA;16/03/15;CALLE REMEDIOS 5 BAJO;49031;ZAMORA;ZAMORA;980 534382;admon@casidazamora.org;;ASOCIACIÓN;ACCION SOCIAL Y SERVICIOS SOCIALES, FOMENTO DEL VOLUNTARIADO, CULTURALES, EDUCATIVAS, SANITARIAS;ENFERMEDAD FÍSICA
A-0090;LIGA ESPAÑOLA EDUC.Y CULTURA POPULAR.LIGA ZAMORANA;01/06/11;CALLE PEÑA TREVINCA S/N;49024;ZAMORA;ZAMORA;980 670695;ligazamorana@hotmail.com;www.ligaeducacion.org;ASOCIACIÓN;FOMENTO DEL VOLUNTARIADO, EDUCATIVAS;EXCLUSION SOCIAL, VOLUNTARIADO
A-0091;ASOCIACIÓN DE PERSONAS CON PARÁLISIS CEREBRAL "SANAGUA" (ASPACE-ZAMORA);26/11/20;CALLE CUBA 5;49030;ZAMORA;ZAMORA;980 671444;sanagua@sanaguaspace.onored.com;www.aspacezamora.org;ASOCIACIÓN;ACCION SOCIAL Y SERVICIOS SOCIALES, OCIO Y TIEMPO LIBRE;DISCAPACIDAD PSIQUICA
A-0092;ASOCIACION DE VOLUNTARIOS AYUDA ENFERMOS TIPO ALZHEIMER;02/03/20;AVENIDA CARDENAL CISNEROS 41, 7ºB;49021;ZAMORA;ZAMORA;980 510607;;;ASOCIACIÓN;ACCION SOCIAL Y SERVICIOS SOCIALES;PERSONAS MAYORES
A-0093;ASOCIACIÓN BURGOS ACOGE;11/03/21;AVENIDA CASTILLA Y LEON 34BAJO;09006;BURGOS;BURGOS;947 232303;burgos.acoge@redacoge.org;www.burgosacoge.org;ASOCIACIÓN;ACCION SOCIAL Y SERVICIOS SOCIALES;[PERSONAS INMIGRANTES, REFUGIADAS Y ASILADAS]
A-0094;ASOCIACIÓN REEDUCACIÓN AUDITIVA NIÑOS SORDOS -ARANS-BUR;18/02/21;CALLE FUENTE LUGAREJOS S/N;09001;BURGOS;BURGOS;947 460540;aransbur@mqd.es;www.aransbur.es;ASOCIACIÓN;CULTURALES, EDUCATIVAS, DESARROLLO DE LA VIDA ASOCIATIVA, OCIO Y TIEMPO LIBRE;INFANCIA, JUVENTUD, DISCAPACIDAD SENSORIAL
A-0095;ASOCIACION VALLISOLETANA DE AYUDA A LA ANCIANIDAD Y A LA INFANCIA;03/02/20;CALLE CHANCILLERIA 5;47003;VALLADOLID;VALLADOLID;983 250182;asvai@asvai.org;;ASOCIACIÓN;ACCION SOCIAL Y SERVICIOS SOCIALES, FOMENTO DEL VOLUNTARIADO;INFANCIA, PERSONAS MAYORES, VOLUNTARIADO
A-0096;ASOCIACION PLATAFORMA DE VOLUNTARIADO DE BURGOS;27/05/15;CALLE CRUZ ROJA S/N;09006;BURGOS;BURGOS;947 234045;entidad@plataformavoluntariadoburgos.com;www.plataformavoluntariadoburgos.com;ASOCIACIÓN;FOMENTO DEL VOLUNTARIADO;VOLUNTARIADO
A-0097;FUNDACION JUAN CIUDAD;23/06/15;AVENIDA MADRID 68;47008;VALLADOLID;VALLADOLID;983 222875;csjdva.voluntariado@hsjd.es;;FUNDACIÓN;ACCION SOCIAL Y SERVICIOS SOCIALES;EXCLUSION SOCIAL, DISCAPACIDAD PSIQUICA, PERSONAS MAYORES, ENFERMEDAD FÍSICA, ENFERMEDAD MENTAL, TOXICOMANÍAS Y ADICCIONES
A-0098;ASOCIACION DE VECINOS DEL BARRIO DE ANDUVA;05/03/20;CAMINO ANDUVA 2-4 BAJOS;09200;MIRANDA DE EBRO;BURGOS;947 049035;vecinosmiranda@yahoo.es;;ASOCIACIÓN;DEFENSA Y PROTECCION DEL MEDIO AMBIENTE;VOLUNTARIADO
A-0099;ASOCIACIÓN CRISTIANA DE COMUNIDADES PARA LA REHABILITACIÓN DE MARGINADOS- ACCOREMA;26/11/20;CALLE HUERTAS 3;09197;QUINTANADUEÑAS ;BURGOS;947 292616;info@accorema.com;;ASOCIACIÓN;ACCION SOCIAL Y SERVICIOS SOCIALES, COOPERACION AL DESARROLLO;EXCLUSION SOCIAL
A-0100;GUARDERIA INFANTIL LAS HUELGAS;23/08/19;CALLE SAN JOSE 1;09002;BURGOS;BURGOS;947 206892;centrodedialashuelgas@yahoo.es;;INSTITUCIONES, ÓRDENES, CONGREGACIONES RELIGIOSAS Y SIMILARES;ACCION SOCIAL Y SERVICIOS SOCIALES;INFANCIA
A-0101;ASOCIACIÓN PARA LA DEFENSA DE LA MUJER LA RUEDA;26/11/20;PLAZA ALONSO MARTINEZ, 7-4º;09003;BURGOS;BURGOS;947 205127;laruedaburgos@yahoo.es;www.asociacionlarueda.tk;ASOCIACIÓN;ACCION SOCIAL Y SERVICIOS SOCIALES, FOMENTO DEL VOLUNTARIADO, EDUCATIVAS, DEFENSA DE LOS DERECHOS HUMANOS;(MUJER)
A-0102;ASOCIACION CENTRO DE VOLUNTARIADO SOCIAL (CVS) (BAJA EN REGISTRO ALTA VOLUNTARIADO);07/06/16;C/ MOLINILLO, 1-1º;09002;BURGOS;BURGOS;947 266250;;;ASOCIACIÓN;ACCION SOCIAL Y SERVICIOS SOCIALES, FOMENTO DEL VOLUNTARIADO;EXCLUSION SOCIAL
A-0103;ASOCIACIÓN DE PADRES Y/O TUTORES PRO PERSONAS CON DISCAPACIDAD INTELECTUAL;21/11/17;PLAZA SIERRA NEVADA 4;09007;BURGOS;BURGOS;947 482445;aprodisi@yahoo.es;;ASOCIACIÓN;ACCION SOCIAL Y SERVICIOS SOCIALES;DISCAPACIDAD SENSORIAL
A-0104;ASOCIACION DE FAMILIARES DE ENFERMOS DE ALZHEIMER (AFABUR);22/03/21;CALLE LOUDUM 1O BAJO;09004;BURGOS;BURGOS;947 239809;afaburgos@gmail.com;www.afaburgos.org;ASOCIACIÓN;ACCION SOCIAL Y SERVICIOS SOCIALES, FOMENTO DEL VOLUNTARIADO;PERSONAS MAYORES
A-0105;FUNDACION ADRA (AGENCIA ADVENTISTA PARA EL DESARROLLO Y RECURSOS ASISTENCIALES);15/11/11;CALLE LOPE DE VEGA 1;47010;VALLADOLID;VALLADOLID;91 5713847;voluntariado@adra-es.org;www.adra-es.org;FUNDACIÓN;ACCION SOCIAL Y SERVICIOS SOCIALES;EXCLUSION SOCIAL
A-0106;ASOCIACIÓN DE DIABÉTICOS DE BURGOS (ASDIBUR);26/11/20;CALLE VITORIA 27-A-5º;09004;BURGOS;BURGOS;947 272788;info@diabeticosburgos.com;www.diabeticosburgos.com;ASOCIACIÓN;ACCION SOCIAL Y SERVICIOS SOCIALES, EDUCATIVAS, SANITARIAS, OCIO Y TIEMPO LIBRE;INFANCIA, JUVENTUD, ENFERMEDAD FÍSICA, POBLACIÓN GENERAL
A-0107;ASOCIACIÓN DE PADRES Y TUTORES DE PERSONAS CON PARÁLISIS CEREBRAL Y ENCEFALOPATÍAS AFINES DE VALLADOLID  (ASPACE-VALLADOLID);26/11/20;PASEO JARDIN BOTANICO S/N;47009;VALLADOLID;VALLADOLID;983 354025;aspacevalladolid@yahoo.es;www.aspacevalladolid.org;ASOCIACIÓN;ACCION SOCIAL Y SERVICIOS SOCIALES;DISCAPACIDAD PSIQUICA, DISCAPACIDAD SENSORIAL, ENFERMEDAD FÍSICA, ENFERMEDAD MENTAL
A-0108;ASOCIACIOON AZACAN;08/02/17;CALLE CARMELO 3;47013;VALLADOLID;VALLADOLID;983 222967;info@azacan.org;www.azacan.org;ASOCIACIÓN;ACCION SOCIAL Y SERVICIOS SOCIALES, FOMENTO DEL VOLUNTARIADO, DEFENSA Y PROTECCION DEL MEDIO AMBIENTE, DESARROLLO DE LA VIDA ASOCIATIVA, EDUCATIVAS, DEFENSA DE LOS DERECHOS HUMANOS, COOPERACION AL DESARROLLO, DEFENSA DE LA ECONOMIA O DE LA INVESTIGACION;EXCLUSION SOCIAL, [PERSONAS INMIGRANTES, REFUGIADAS Y ASILADAS], POBLACIÓN GENERAL, VOLUNTARIADO
A-0109;FEDERACIÓN DE CENTROS JUVENILES DON BOSCO DE CASTILLA Y LEÓN;24/11/20;CALLE PAJARILLOS 1 BAJO;47012;VALLADOLID;VALLADOLID;983 204054;fed.castillayleon@confedonbosco.org;www.federboscocyl.org;FEDERACIÓN-CONFEDERACIÓN;ACCION SOCIAL Y SERVICIOS SOCIALES, FOMENTO DEL VOLUNTARIADO, EDUCATIVAS;INFANCIA, (MUJER), JUVENTUD
A-0110;FEDERACIÓN REGIONAL DE ASOCIACIONES DE FAMILIAS ENFERMOS ALZHEIMER DE CASTILLA Y LEÓN (AFACAYLE);24/11/20;CALLE SANTIAGO 16, PLANTA 3ª, OFICINA CENTRO;47001;VALLADOLID;VALLADOLID;983 132613;afacayle@afacayle.es;www.afacayle.es;FEDERACIÓN-CONFEDERACIÓN;ACCION SOCIAL Y SERVICIOS SOCIALES, FOMENTO DEL VOLUNTARIADO;PERSONAS MAYORES
A-0111;ASOCIACION DE VOLUNTARIADO DE LAS AULAS DE PERSONAS MAYORES "MARIA ZAMBRANO";23/06/15;CALLE SORIA S/N;09004;BURGOS;BURGOS;947 224423;aulasmayores@aytoburgos.es;;ASOCIACIÓN;ACCION SOCIAL Y SERVICIOS SOCIALES;PERSONAS MAYORES
A-0112;ASOCIACIÓN FEAFES ZAMORA (ASOCIACIÓN DE FAMILIARES Y AMIGOS DE ENFERMOS MENTALES DE ZAMORA);15/02/21;CALLE QUINTÍN ALDEA, Nº1 LOCAL 2;49028;ZAMORA;ZAMORA;980 536831;zamora@feafescyl.org;www.feafeszamora.es;ASOCIACIÓN;ACCION SOCIAL Y SERVICIOS SOCIALES;ENFERMEDAD MENTAL
A-0113;ASOCIACIÓN ZAMORANA DE ESCLEROSIS MÚLTIPLE - AZDEM;15/02/21;AVENIDA CARDENAL CISNEROS 26;49011;ZAMORA;ZAMORA;980 671204;azdemzamora@yahoo.es;www.azdemzamora.es;ASOCIACIÓN;ACCION SOCIAL Y SERVICIOS SOCIALES;ENFERMEDAD FÍSICA
A-0114;ORGANIZACION NACIONAL DE CIEGOS ESPAÑOLES (ONCE);16/02/12;CALLE MURO 15;47004;VALLADOLID;VALLADOLID;983 300888;migdg@once.es;www.once.es;ASOCIACIÓN;ACCION SOCIAL Y SERVICIOS SOCIALES;DISCAPACIDAD SENSORIAL
A-0115;DIDANIA-FEDERACIÓN DE ENTIDADES CRISTIANAS DE TIEMPO LIBRE;25/11/20;CALLE CALLE SIMÓN BOLIVAR, Nº 8-B;48010;BILBAO;VIZCAYA;94 4009996;federacion@didania.org;www.didania.org;FEDERACIÓN-CONFEDERACIÓN;FOMENTO DEL VOLUNTARIADO, DESARROLLO DE LA VIDA ASOCIATIVA, EDUCATIVAS, OCIO Y TIEMPO LIBRE;JUVENTUD
A-0116;CENTROS DE CULTURA POPULAR PROMOCION DE ADULTOS;22/11/10;C/ GOMEZ DE SALAZAR, 29;24009;LEON;LEON;987 216718;centros@accioncatolicaes.org;;FUNDACIÓN;ACCION SOCIAL Y SERVICIOS SOCIALES, CULTURALES, EDUCATIVAS;(MUJER)
A-0117;FEDERACIÓN AUTISMO CASTILLA Y LEÓN;24/11/20;EDIFICIO "GRACILIANO URBANEJA"-Paseo de los Comendadores, s/n;09001;BURGOS;BURGOS;947 268993;federacion@autismocastillayleon.org;www.autismocastillayleon.org;FEDERACIÓN-CONFEDERACIÓN;ACCION SOCIAL Y SERVICIOS SOCIALES, FOMENTO DEL VOLUNTARIADO;ENFERMEDAD MENTAL
A-0118;HERMANDAD DE DONANTES DE SANGRE DE VALLADOLID;09/11/20;PLAZA EJERCITO S/N CENTRO DE SALUD;47007;VALLADOLID;VALLADOLID;983 221892;oficina@hdsvalladolid.com;;ASOCIACIÓN;SANITARIAS;ENFERMEDAD FÍSICA
A-0119;ASOCIACION DIABETES VALLADOLID - ADIVA;29/09/20;CALLE PARROCO DOMICIO CUADRADO, 4;47004;VALLADOLID;VALLADOLID;983 396812;asocdiabeva@hotmail.com;www.asociaciondiabeticosvalladolid.es;ASOCIACIÓN;ACCION SOCIAL Y SERVICIOS SOCIALES, SANITARIAS;ENFERMEDAD FÍSICA
A-0120;ASOCIACIÓN DE PADRES DE PERSONAS CON PARÁLISIS CEREBRAL Y ENCEFALOPATÍAS AFINES  (ASPACE-SALAMANCA);26/11/20;CALLE JUAN DEL ENCINA, Nº 4-6;37004;SALAMANCA;SALAMANCA;923 289585;gerencia@aspacesalamanca.org;www.aspacesalamanca.org;ASOCIACIÓN;ACCION SOCIAL Y SERVICIOS SOCIALES, FOMENTO DEL VOLUNTARIADO;DISCAPACIDAD PSIQUICA
A-0121;ASOCIACION BANCO DE ALIMENTOS DE BURGOS;10/09/15;AVDA. GRAL. VIGON, 57;09004;BURGOS;BURGOS;947 237250;bancaliburg@yahoo.es;;ASOCIACIÓN;ACCION SOCIAL Y SERVICIOS SOCIALES;EXCLUSION SOCIAL
A-0122;ASOCIACION CENTRO JUVENIL TRASCAMPUS;30/08/10;AVENIDA CARLOS PINILLA 3;49022;ZAMORA;ZAMORA;980 514447;cjtrascampus@federboscocyl.org;www.trascampus.org;ASOCIACIÓN;FOMENTO DEL VOLUNTARIADO, DESARROLLO DE LA VIDA ASOCIATIVA;VOLUNTARIADO
A-0123;ASOCIACION DE FAMILIARES Y AMIGOS ENFERMOS ALZHEIMER Y OTRAS DEMENCIAS DE SANTA MARINA DEL REY;04/12/18;C/ BEATOS FRNACISCO ALFREDO, JUAN ANTONIO Y MARCELINO, 2;24393;SANTA MARINA DEL REY;LEON;987 377509;afastamarina@yahoo.es;www.afasantamarina.es;ASOCIACIÓN;ACCION SOCIAL Y SERVICIOS SOCIALES;PERSONAS MAYORES
A-0124;ASOCIACION DE FAMILIARES DE PERSONAS CON DISCAPACIDAD INTELECTUAL "LAS CALZADAS";24/03/15;CALLE JUAN DE PADILLA 4;09004;BURGOS;BURGOS;947 227862;lascalzadas@feapscyl.org;;ASOCIACIÓN;ACCION SOCIAL Y SERVICIOS SOCIALES, DEPORTIVAS, OCIO Y TIEMPO LIBRE;DISCAPACIDAD PSIQUICA
A-0125;FEAFES VALLADOLID EL PUENTE;08/01/19;CALLE TAJAHIERRO 2;47009;VALLADOLID;VALLADOLID;983 380993;elpuente@elpuentesaludmental.org;www.wlpuentesaludmental.org;ASOCIACIÓN;ACCION SOCIAL Y SERVICIOS SOCIALES;ENFERMEDAD MENTAL
A-0126;ASOCIACION VOLUNTARIADO LACIANA;24/07/15;PLAZA SIERRA PAMBLEY 1;24100;VILLABLINO;LEON;630 029665;;;ASOCIACIÓN;ACCION SOCIAL Y SERVICIOS SOCIALES;POBLACIÓN GENERAL
A-0127;ASOCIACION ESPAÑOLA CONTRA EL CANCER;23/06/14;C/ AMADOR RIOS, 5;28004;MADRID;MADRID;91 3194138;sedecentral@aecc.es;www.todocancer.org;ASOCIACIÓN;ACCION SOCIAL Y SERVICIOS SOCIALES, FOMENTO DEL VOLUNTARIADO, EDUCATIVAS, SANITARIAS;INFANCIA, JUVENTUD, ENFERMEDAD FÍSICA
A-0128;ACLAD ASOCIACION DE AYUDA AL DROGODEPENDIENTE;05/09/16;CALLE PUENTE LA REINA, Nº 10;47011;VALLADOLID;VALLADOLID;983 306466;aclad@aclad.net;www.aclad.net;ASOCIACIÓN;ACCION SOCIAL Y SERVICIOS SOCIALES;TOXICOMANÍAS Y ADICCIONES, VOLUNTARIADO
A-0129;FUNDACION CANDEAL;08/03/18;CALLE PALMA DE MALLORCA, Nº 3;09007;BURGOS;BURGOS;947 481077;proyectohombreburgos@sarenet.es;www.proyectohombreburgos.com;FUNDACIÓN;ACCION SOCIAL Y SERVICIOS SOCIALES;TOXICOMANÍAS Y ADICCIONES
A-0130;CARITAS DIOCESANA DE SEGOVIA;01/02/19;CALLE SAN AGUSTIN 4;40001;SEGOVIA;SEGOVIA;921 462820;caritas.cdsegovia@caritas.es;;INSTITUCIONES, ÓRDENES, CONGREGACIONES RELIGIOSAS Y SIMILARES;ACCION SOCIAL Y SERVICIOS SOCIALES, FOMENTO DEL VOLUNTARIADO, EDUCATIVAS;EXCLUSION SOCIAL, INFANCIA, JUVENTUD, PERSONAS MAYORES, VOLUNTARIADO
A-0131;ESCUELA DIOCESANA DE EDUCADORES DE JUVENTUD - VOLUNTARED;29/06/16;CALLE RAMON Y CAJAL 6;09002;BURGOS;BURGOS;947 257707;direccion@voluntared.org;;INSTITUCIONES, ÓRDENES, CONGREGACIONES RELIGIOSAS Y SIMILARES;FOMENTO DEL VOLUNTARIADO, CULTURALES, EDUCATIVAS, OCIO Y TIEMPO LIBRE;INFANCIA, JUVENTUD, POBLACIÓN GENERAL, VOLUNTARIADO
A-0132;ASOCIACIÓN DE PADRES DE PERSONAS CON AUTISMO;26/11/20;CALLE VALDENUÑEZ 8;09001;BURGOS;BURGOS;947 461243;autismoburgos@autismoburgos.org;www.autismoburgos.org;ASOCIACIÓN;ACCION SOCIAL Y SERVICIOS SOCIALES;DISCAPACIDAD PSIQUICA
A-0133;ASOCIACION DE VOLUNTARIADO DE ASTORGA;11/07/19;PLAZA SAN MIGUEL 4;24700;ASTORGA;LEON;987 616375;;;ASOCIACIÓN;ACCION SOCIAL Y SERVICIOS SOCIALES;POBLACIÓN GENERAL, VOLUNTARIADO
A-0134;CARITAS INTERPARROQUIAL DE BÉJAR;26/11/20;CALLE FILIBERTO VILLALOBOS S/Nº;37700;BEJAR;SALAMANCA;923 402270;caritasbejar@caritasbejar.es;;INSTITUCIONES, ÓRDENES, CONGREGACIONES RELIGIOSAS Y SIMILARES;ACCION SOCIAL Y SERVICIOS SOCIALES;EXCLUSION SOCIAL, POBLACIÓN GENERAL
A-0135;FEDERACIÓN DE ASOCIACIONES DE DISCAPACITADOS FÍSICOS BURGALESES (FEDISFIBUR);26/11/20;AVENIDA CASTILLA Y LEON 22- 2ª PLANTA-CC. CAMINO DE LA PLATA;09006;BURGOS;BURGOS;947 214343;fedesfibur@gmail.com;www.fedisfibur.org;FEDERACIÓN-CONFEDERACIÓN;ACCION SOCIAL Y SERVICIOS SOCIALES, OCIO Y TIEMPO LIBRE;ENFERMEDAD FÍSICA
A-0136;ASOCIACIÓN DE PADRES Y FAMILIARES DE PERSONAS CON DISCAPACIDAD INTELECTUAL O DEL DESARROLLO  (ASPANIAS);26/11/20;CALLE FEDERICO OLMEDA 1Y 3;09006;BURGOS;BURGOS;947 238562;aspanias@feapscyl.org;www.aspaniasburgos.org;ASOCIACIÓN;ACCION SOCIAL Y SERVICIOS SOCIALES, FOMENTO DEL VOLUNTARIADO;DISCAPACIDAD PSIQUICA
A-0137;ASOCIACION DE FAMILIARES DE ENFERMOS DE ALZHEIMER DE LA RIBERA (AFAR);18/09/17;CALLE ANTONIO BACIERO 2  EDIFICIO DE LAS FRANCESAS;09400;ARANDA DE DUERO;BURGOS;947 500807;afar.aranda@yahoo.es;www.afaranda.com;ASOCIACIÓN;ACCION SOCIAL Y SERVICIOS SOCIALES, FOMENTO DEL VOLUNTARIADO;PERSONAS MAYORES, POBLACIÓN GENERAL, VOLUNTARIADO
A-0138;ASOCIACION DE FAMILIARES DE  ENFERMOS ALZHEIMER Y OTRAS DEMENCIAS DE MIRANDA DE EBRO (AFAMI);18/09/17;CALLE CIUDAD VIERZON 21, bajo;09200;MIRANDA DE EBRO;BURGOS;947 333152;afamiranda@hotmail.com;;ASOCIACIÓN;ACCION SOCIAL Y SERVICIOS SOCIALES, FOMENTO DEL VOLUNTARIADO;PERSONAS MAYORES, VOLUNTARIADO
A-0140;ASOCIACIÓN LEONESA CON LAS ENFERMEDADES DE LA SANGRE - ALCLES;09/03/21;CALLE JULIO DEL CAMPO 3- 3º DCHA.;24002;LEON;LEON;987 242211;informacion@alcles.org;www.alcles.org;ASOCIACIÓN;ACCION SOCIAL Y SERVICIOS SOCIALES, SANITARIAS;ENFERMEDAD FÍSICA
A-0141;HERMANDAD DE DONANTES DE SANGRE DE SALAMANCA;30/10/20;PASEO SAN VICENTE 58;37007;SALAMANCA;SALAMANCA;923 262080;donantes@hdss.e.telefonica.net;www.lasalina.es/usr/donantes;ASOCIACIÓN;ACCION SOCIAL Y SERVICIOS SOCIALES, SANITARIAS;POBLACIÓN GENERAL
A-0142;ASOCIACIÓN DE LARINGECTOMIZADOS DE LEÓN (ALLE);24/11/20;CALLE JUAN XXIII 6- PORTAL 2-1º;24006;LEON;LEON;987 210807;alle@foros.es;;ASOCIACIÓN;SANITARIAS;ENFERMEDAD FÍSICA
A-0143;ASOCIACIÓN PARA LA LUCHA CONTRA ENFERMEDAD DEL RIÑÓN - ALCER SALAMANCA;02/12/20;AVENIDA ITALIA 8, 1. OFIC. 6;37006;SALAMANCA;SALAMANCA;923 257140;alcersalamanca@alcer.org;www.alcer.net;ASOCIACIÓN;ACCION SOCIAL Y SERVICIOS SOCIALES, SANITARIAS, OCIO Y TIEMPO LIBRE;ENFERMEDAD FÍSICA
A-0144;ASOCIACIÓN DE FAMILIARES DE ENFERMOS DE ALZHEIMER ÁVILA (AFAVILA);24/11/20;CALLE ANTONIO VEREDAS, 84;05004;AVILA;AVILA;920 700409;afavilasede@yahoo.es;www.alzheimeravila.com;ASOCIACIÓN;ACCION SOCIAL Y SERVICIOS SOCIALES;PERSONAS MAYORES
A-0145;ASOCIACIÓN LEONESA DE CARIDAD;24/11/20;PLAZA PUERTA OBISPO, Nº 13;24006;LEON;LEON;987 255093;traso@asleca.org;www.asleca.org;ASOCIACIÓN;ACCION SOCIAL Y SERVICIOS SOCIALES;EXCLUSION SOCIAL
A-0146;ASOCIACIÓN PARA LA LUCHA CONTRA LAS ENFERMEDADES RENALES DE LEÓN  "ALCER-LEÓN";24/11/20;CALLE DESCALZOS 10;24003;LEON;LEON;987 236640;alcerleon@telefonica.net;;ASOCIACIÓN;ACCION SOCIAL Y SERVICIOS SOCIALES;ENFERMEDAD FÍSICA
A-0147;FUNDACIÓN CENTRO ASTORGANO LEONES DE SOLIDARIDAD - CALS;24/11/20;CALLE MEDICOS SIN FRONTERAS 8;24411;FUENTES NUEVAS;LEON;987 428830;voluntariado@proyectohombreleon.org;www.proyectohombreleon.org;FUNDACIÓN;ACCION SOCIAL Y SERVICIOS SOCIALES, FOMENTO DEL VOLUNTARIADO;TOXICOMANÍAS Y ADICCIONES, VOLUNTARIADO
A-0148;FUNDACIÓN AYUDA EN ACCIÓN;30/11/18;CALLE AMADEO ARIAS 10 LOCAL 1-3;47014;VALLADOLID;VALLADOLID;679 979998;castillayleon@voluntariado.ayudaenaccion.org;www.ayudaenaccion.org;FUNDACIÓN;COOPERACION AL DESARROLLO;VOLUNTARIADO
